artist,lead Streams,feat Streams,tracks recorded,songs over 1m,songs over 10m,songs over 100m,songs over 1B
Drake,59186415670,21423103573,284,280,276,156,7
Bad Bunny,55040681945,8409552136,163,162,159,127,10
The Weeknd,49515036716,6619296045,239,234,168,97,11
Taylor Swift,48559533453,514656735,362,351,291,146,3
Ed Sheeran,42736796879,3225707314,271,247,191,69,11
Justin Bieber,36643684652,10456049231,227,197,176,64,9
Eminem,35328685091,4855392407,300,267,229,69,7
Ariana Grande,35172997576,3668541427,174,171,127,72,8
BTS,33502755803,661524839,264,264,216,106,4
Post Malone,33320870121,3000553912,101,85,83,61,10
J Balvin,30158950377,8693182847,254,237,162,73,4
Kanye West,29775995653,6536236206,240,222,197,71,2
Billie Eilish,27463514834,0,66,64,61,51,6
Coldplay,25730085068,0,299,280,188,38,9
Dua Lipa,25366751139,390069654,198,171,87,37,8
Juice WRLD,25180453333,5424840063,119,118,115,64,3
Imagine Dragons,24845842772,596222414,192,157,117,43,8
Rihanna,24647272794,9131751151,282,214,117,49,7
XXXTENTACION,24558049125,2934330015,146,142,112,46,8
Ozuna,23515736258,8697095827,254,225,166,54,1
Khalid,23079132139,3170819193,126,116,98,45,7
Maroon,22374255503,19675,243,200,112,31,9
Travis Scott,21712282240,12708101492,112,106,91,53,4
Bruno Mars,21085625347,5007292062,81,76,61,33,8
Kendrick Lamar,20935806688,9463896725,122,118,113,48,4
